ground_truth, iters1, iters2, iters3, iters4, iters5, iters6, iters7, iters8, iters9, iters10, iters11, iters12, iters13, iters14, iters15, iters16, iters17, iters18, iters19, iters20, iters21, iters22, iters23, iters24, iters25
0, 0, 4, 18, 9, 10, 2, 16, 19, 19, 0, 19, 28, 19, 27, 0, 28, 0, 3, 10, 16, 19, 0, 27, 0, 0
0, 3, 14, 31, 0, 24, 19, 10, 0, 19, 8, 0, 19, 0, 0, 19, 0, 0, 24, 0, 0, 0, 0, 0, 0, 8
0, 30, 15, 17, 0, 0, 19, 0, 16, 19, 0, 27, 0, 16, 0, 10, 0, 19, 0, 20, 10, 0, 16, 12, 0, 19
0, 10, 29, 28, 0, 20, 24, 20, 14, 26, 0, 0, 0, 0, 12, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0
0, 19, 6, 0, 8, 28, 18, 10, 14, 0, 0, 16, 0, 16, 27, 0, 0, 0, 0, 8, 0, 0, 27, 0, 16, 27
0, 3, 3, 29, 10, 22, 11, 18, 0, 27, 27, 18, 14, 19, 17, 0, 10, 0, 0, 0, 0, 19, 28, 0, 0, 31
0, 5, 10, 18, 10, 13, 14, 0, 19, 19, 8, 0, 19, 0, 20, 19, 26, 0, 0, 19, 0, 0, 19, 12, 8, 19
0, 19, 5, 29, 0, 18, 19, 0, 19, 18, 27, 0, 11, 0, 10, 19, 0, 0, 0, 27, 0, 0, 0, 0, 0, 10
0, 0, 22, 10, 28, 8, 28, 27, 14, 19, 0, 19, 0, 0, 19, 0, 0, 27, 20, 19, 10, 16, 19, 19, 27, 0
0, 5, 24, 15, 7, 10, 12, 0, 24, 19, 18, 16, 0, 0, 0, 0, 0, 27, 0, 0, 14, 0, 11, 3, 20, 0
0, 6, 12, 10, 19, 19, 19, 19, 8, 0, 16, 3, 0, 20, 10, 3, 10, 28, 20, 0, 30, 0, 0, 20, 0, 0
0, 3, 30, 27, 24, 18, 10, 19, 16, 19, 0, 27, 8, 16, 0, 0, 0, 19, 16, 0, 16, 16, 0, 12, 0, 27
