ground_truth, iters1, iters2, iters3, iters4, iters5, iters6, iters7, iters8, iters9, iters10, iters11, iters12, iters13, iters14, iters15, iters16, iters17, iters18, iters19, iters20, iters21, iters22, iters23, iters24, iters25
0, 12, 0, 8, 8, 4, 0, 0, 14, 12, 0, 12, 0, 14, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0
0, 8, 2, 2, 0, 0, 8, 10, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 14, 0, 0, 0, 0, 0, 0, 0
0, 8, 0, 0, 2, 10, 0, 0, 0, 4, 0, 12, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 9, 4, 0, 0, 0, 8, 0, 0, 6, 14, 0, 0, 0, 4, 0, 0, 12, 0, 0, 0, 4, 0, 0, 0, 4
0, 4, 10, 8, 13, 0, 0, 0, 14, 0, 4, 4, 0, 0, 0, 0, 0, 8, 0, 0, 12, 0, 0, 0, 0, 0
0, 2, 8, 2, 8, 12, 12, 8, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 12, 12, 0, 0, 0, 0, 0
0, 8, 8, 13, 8, 6, 0, 0, 12, 0, 0, 0, 0, 4, 0, 8, 6, 0, 12, 0, 0, 0, 0, 0, 6, 0
0, 8, 8, 8, 7, 0, 12, 0, 0, 0, 0, 0, 8, 4, 8, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0
0, 0, 12, 8, 8, 14, 8, 0, 0, 8, 8, 0, 0, 0, 0, 0, 8, 0, 0, 8, 0, 4, 0, 0, 0, 0
0, 8, 13, 12, 0, 0, 0, 6, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 8, 13, 13, 0, 14, 12, 14, 0, 12, 0, 0, 0, 12, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0
0, 8, 8, 4, 0, 14, 0, 6, 0, 4, 8, 0, 0, 0, 14, 14, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0
0, 8, 2, 13, 14, 9, 0, 12, 12, 6, 4, 0, 0, 0, 0, 0, 4, 8, 8, 0, 0, 0, 0, 0, 8, 0
0, 4, 4, 0, 14, 8, 8, 0, 0, 6, 14, 8, 8, 0, 0, 0, 12, 14, 0, 8, 0, 0, 0, 0, 0, 0
0, 8, 8, 8, 8, 4, 2, 2, 2, 0, 4, 12, 4, 0, 0, 8, 14, 0, 4, 12, 0, 0, 0, 14, 0, 8
1, 3, 5, 12, 5, 9, 2, 1, 5, 7, 1, 5, 5, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 10, 1
1, 11, 13, 2, 6, 1, 3, 3, 1, 15, 5, 1, 5, 1, 6, 15, 3, 15, 15, 1, 9, 1, 1, 7, 1, 1
1, 2, 9, 15, 1, 15, 5, 2, 1, 1, 1, 7, 1, 9, 1, 3, 1, 3, 1, 1, 9, 1, 1, 1, 1, 1
1, 5, 12, 5, 5, 9, 15, 3, 1, 5, 7, 5, 2, 1, 1, 1, 10, 1, 10, 1, 1, 1, 15, 1, 1, 1
1, 11, 6, 6, 15, 15, 6, 1, 5, 1, 2, 3, 2, 3, 1, 1, 1, 1, 6, 1, 1, 5, 5, 1, 1, 1
1, 5, 2, 1, 15, 1, 3, 9, 13, 2, 1, 1, 5, 1, 6, 3, 3, 3, 1, 1, 1, 1, 3, 1, 15, 1
1, 11, 6, 1, 7, 13, 1, 1, 3, 1, 1, 1, 1, 5, 7, 5, 5, 1, 9, 2, 1, 2, 1, 1, 1, 1
1, 0, 11, 1, 5, 1, 13, 5, 6, 9, 6, 15, 1, 3, 1, 1, 1, 3, 1, 1, 1, 9, 1, 1, 5, 1
1, 1, 9, 2, 3, 13, 3, 6, 1, 3, 1, 1, 5, 1, 10, 1, 1, 1, 1, 3, 15, 9, 3, 5, 1, 10
