ground_truth, iters1, iters2, iters3, iters4, iters5, iters6, iters7, iters8, iters9, iters10, iters11, iters12, iters13, iters14, iters15, iters16, iters17, iters18, iters19, iters20, iters21, iters22, iters23, iters24, iters25
0, 16, 1, 4, 4, 18, 18, 4, 18, 10, 10, 16, 12, 4, 0, 4, 7, 7, 2, 4, 21, 7, 0, 0, 0, 18
0, 4, 18, 2, 4, 4, 10, 0, 5, 16, 0, 10, 18, 4, 0, 0, 0, 0, 0, 21, 18, 21, 0, 7, 0, 12
0, 17, 4, 16, 0, 15, 13, 0, 4, 7, 7, 18, 21, 0, 15, 10, 15, 7, 16, 4, 18, 0, 0, 7, 0, 0
0, 1, 4, 19, 23, 4, 18, 4, 20, 19, 10, 7, 2, 0, 4, 21, 13, 7, 0, 2, 10, 12, 10, 0, 0, 16
0, 2, 9, 5, 14, 19, 21, 13, 15, 15, 19, 2, 0, 0, 0, 4, 0, 18, 2, 7, 0, 0, 16, 0, 0, 0
0, 5, 21, 8, 13, 7, 16, 21, 2, 22, 0, 4, 21, 12, 7, 21, 0, 18, 0, 21, 4, 0, 0, 18, 7, 4
0, 4, 19, 21, 21, 18, 15, 13, 0, 7, 20, 0, 2, 22, 15, 0, 0, 0, 21, 0, 0, 7, 7, 18, 0, 18
0, 17, 15, 21, 15, 18, 21, 15, 2, 7, 4, 20, 0, 16, 4, 0, 15, 0, 0, 0, 18, 0, 16, 0, 15, 0
0, 12, 16, 4, 7, 0, 2, 0, 0, 20, 7, 15, 7, 0, 0, 0, 0, 4, 7, 0, 0, 0, 0, 0, 0, 0
0, 5, 0, 16, 20, 10, 7, 4, 12, 4, 0, 2, 4, 4, 15, 0, 4, 10, 7, 4, 0, 0, 2, 2, 0, 7
0, 16, 11, 4, 21, 13, 12, 7, 21, 7, 0, 20, 15, 0, 20, 12, 0, 21, 0, 0, 7, 7, 0, 18, 18, 0
0, 0, 0, 0, 19, 4, 22, 0, 4, 10, 5, 19, 0, 7, 0, 0, 13, 16, 4, 0, 7, 0, 0, 0, 7, 9
0, 4, 16, 13, 18, 15, 20, 4, 4, 18, 2, 2, 4, 10, 0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 18, 13
0, 4, 10, 13, 10, 16, 12, 0, 4, 4, 18, 15, 4, 0, 0, 0, 0, 0, 20, 12, 0, 7, 0, 18, 0, 13
0, 21, 0, 15, 10, 4, 20, 2, 21, 18, 0, 7, 2, 0, 0, 7, 7, 7, 4, 0, 4, 16, 0, 0, 4, 0
1, 19, 1, 12, 9, 6, 8, 8, 14, 1, 1, 9, 1, 1, 19, 19, 1, 1, 1, 1, 1, 1, 1, 1, 9, 9
1, 5, 3, 5, 19, 0, 6, 19, 1, 1, 9, 8, 2, 8, 1, 19, 1, 5, 1, 9, 17, 1, 1, 1, 11, 11
1, 1, 14, 10, 14, 14, 11, 8, 5, 19, 1, 1, 17, 1, 19, 1, 19, 1, 1, 1, 17, 1, 5, 1, 1, 1
1, 21, 1, 5, 17, 14, 15, 11, 6, 8, 2, 20, 1, 17, 1, 6, 1, 5, 1, 1, 1, 1, 19, 1, 1, 1
1, 10, 5, 2, 19, 5, 6, 9, 1, 1, 1, 5, 11, 9, 19, 1, 1, 19, 19, 1, 1, 6, 17, 1, 17, 9
1, 16, 13, 13, 6, 15, 8, 1, 1, 13, 1, 6, 1, 1, 19, 19, 9, 9, 11, 19, 1, 14, 19, 19, 1, 11
