ground_truth, iters1, iters2, iters3, iters4, iters5, iters6, iters7, iters8, iters9, iters10, iters11, iters12, iters13, iters14, iters15, iters16, iters17, iters18, iters19, iters20, iters21, iters22, iters23, iters24, iters25
0, 1, 19, 0, 9, 18, 13, 0, 19, 16, 0, 10, 20, 19, 0, 0, 20, 19, 10, 0, 0, 0, 16, 0, 0, 0
0, 10, 1, 19, 2, 22, 3, 18, 8, 27, 0, 0, 30, 0, 10, 12, 0, 0, 0, 0, 0, 0, 0, 27, 0, 8
0, 0, 19, 10, 19, 0, 18, 0, 10, 0, 24, 0, 31, 0, 10, 12, 20, 0, 27, 0, 0, 10, 0, 0, 0, 0
0, 14, 13, 18, 3, 12, 0, 0, 19, 18, 14, 20, 31, 16, 27, 0, 19, 0, 10, 0, 0, 0, 0, 0, 0, 16
0, 3, 6, 26, 20, 18, 16, 10, 14, 28, 0, 18, 10, 0, 20, 0, 0, 0, 19, 0, 0, 16, 11, 0, 0, 19
0, 6, 5, 13, 0, 24, 10, 19, 12, 27, 12, 16, 27, 8, 31, 12, 3, 10, 19, 0, 0, 0, 0, 11, 0, 19
0, 0, 3, 19, 10, 17, 29, 20, 0, 20, 11, 0, 0, 10, 0, 0, 0, 8, 19, 0, 0, 20, 0, 0, 19, 8
0, 21, 18, 13, 31, 28, 17, 8, 19, 27, 19, 0, 0, 27, 14, 0, 0, 0, 0, 27, 16, 0, 0, 19, 0, 27
0, 29, 24, 0, 3, 20, 26, 10, 16, 16, 19, 14, 10, 0, 20, 0, 0, 0, 0, 31, 10, 12, 8, 0, 0, 10
0, 3, 24, 0, 27, 0, 0, 10, 31, 0, 20, 19, 0, 10, 0, 0, 0, 12, 0, 0, 0, 27, 27, 0, 16, 0
0, 0, 19, 19, 27, 22, 20, 8, 7, 27, 19, 0, 19, 19, 16, 19, 12, 0, 0, 0, 14, 0, 0, 12, 0, 19
0, 19, 5, 30, 12, 1, 12, 27, 16, 27, 14, 10, 8, 0, 0, 0, 0, 20, 10, 0, 0, 12, 0, 16, 0, 27
0, 3, 14, 14, 0, 16, 0, 18, 14, 11, 3, 0, 19, 0, 0, 16, 0, 0, 19, 0, 19, 0, 0, 19, 16, 31
