ground_truth, iters1, iters2, iters3, iters4, iters5, iters6, iters7, iters8, iters9, iters10, iters11, iters12, iters13, iters14, iters15, iters16, iters17, iters18, iters19, iters20, iters21, iters22, iters23, iters24, iters25
0, 7, 12, 10, 6, 12, 0, 2, 2, 13, 2, 0, 0, 15, 0, 0, 0, 0, 0, 12, 0, 2, 4, 4, 4, 0
0, 9, 4, 2, 13, 15, 15, 13, 0, 6, 10, 4, 7, 4, 0, 7, 0, 13, 15, 0, 0, 0, 0, 0, 0, 0
0, 9, 4, 0, 9, 10, 2, 0, 4, 0, 10, 4, 0, 4, 0, 0, 0, 0, 0, 10, 12, 0, 0, 4, 0, 0
0, 4, 10, 11, 9, 10, 2, 0, 4, 7, 0, 0, 0, 13, 4, 0, 0, 0, 4, 0, 0, 7, 4, 2, 0, 2
0, 11, 12, 4, 10, 6, 0, 9, 0, 7, 4, 0, 0, 0, 0, 0, 0, 0, 0, 13, 4, 0, 4, 0, 0, 0
0, 1, 0, 8, 9, 0, 7, 7, 7, 0, 6, 0, 13, 0, 10, 7, 6, 0, 0, 4, 6, 7, 0, 0, 0, 4
0, 12, 4, 4, 12, 0, 4, 2, 2, 0, 0, 12, 7, 0, 13, 4, 4, 2, 2, 0, 0, 0, 13, 10, 0, 0
0, 8, 4, 7, 10, 4, 4, 10, 12, 0, 4, 6, 12, 4, 0, 0, 0, 0, 0, 4, 10, 15, 10, 4, 0, 0
0, 1, 4, 7, 0, 10, 10, 10, 13, 4, 12, 0, 0, 13, 0, 0, 15, 0, 0, 0, 0, 2, 0, 0, 2, 0
0, 10, 9, 4, 12, 4, 2, 0, 0, 4, 0, 0, 4, 2, 4, 2, 0, 2, 0, 2, 0, 0, 0, 13, 2, 0
0, 10, 0, 4, 2, 0, 12, 6, 10, 2, 10, 4, 0, 0, 12, 4, 7, 7, 2, 0, 7, 0, 4, 0, 4, 0
0, 15, 15, 15, 15, 0, 2, 10, 10, 0, 0, 0, 15, 13, 0, 0, 0, 4, 0, 0, 4, 0, 0, 0, 7, 4
0, 4, 10, 4, 15, 0, 7, 2, 0, 4, 10, 2, 10, 2, 0, 2, 0, 2, 0, 0, 13, 0, 0, 7, 0, 0
0, 15, 4, 11, 12, 6, 4, 7, 2, 4, 0, 2, 4, 0, 7, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 12
0, 4, 2, 13, 4, 9, 6, 4, 15, 2, 2, 10, 0, 0, 0, 15, 0, 0, 2, 0, 0, 4, 0, 0, 0, 10
1, 3, 8, 9, 2, 5, 13, 1, 6, 1, 8, 2, 1, 1, 2, 1, 1, 8, 1, 13, 1, 9, 1, 1, 1, 1
1, 9, 9, 14, 8, 13, 1, 1, 9, 6, 1, 1, 9, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 2, 1, 1
1, 4, 2, 6, 1, 8, 1, 5, 2, 1, 9, 1, 2, 1, 8, 5, 8, 6, 1, 1, 2, 1, 1, 1, 8, 2
1, 2, 8, 9, 6, 2, 6, 1, 1, 1, 5, 1, 1, 1, 2, 9, 1, 6, 6, 1, 2, 1, 1, 1, 1, 2
1, 10, 8, 13, 1, 9, 14, 6, 5, 9, 1, 1, 1, 1, 1, 1, 8, 1, 1, 13, 1, 1, 1, 1, 1, 1
1, 9, 1, 2, 9, 8, 2, 1, 9, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 13, 1, 1, 1, 1
1, 5, 1, 8, 5, 6, 2, 1, 1, 1, 9, 13, 1, 14, 1, 5, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1
1, 1, 0, 2, 5, 6, 2, 1, 9, 1, 1, 13, 6, 1, 1, 2, 8, 2, 1, 5, 1, 1, 13, 1, 1, 1
1, 4, 1, 1, 7, 1, 15, 1, 9, 1, 8, 8, 1, 1, 1, 1, 1, 14, 1, 8, 1, 1, 1, 1, 1, 1
1, 3, 6, 8, 9, 2, 6, 1, 6, 1, 1, 1, 5, 13, 1, 5, 1, 1, 1, 13, 1, 1, 1, 1, 1, 1
1, 12, 15, 6, 2, 6, 14, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 1, 1, 6, 2, 8, 1, 5, 2, 1, 1, 6, 1, 9, 2, 8, 2, 1, 7, 2, 1, 1, 1, 1, 2, 1
1, 2, 1, 1, 8, 14, 1, 2, 2, 1, 1, 9, 1, 8, 1, 1, 9, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 2, 2, 9, 12, 1, 5, 1, 8, 13, 1, 1, 1, 13, 1, 1, 2, 1, 1, 1, 6, 1, 1, 1, 1, 1
1, 1, 11, 14, 8, 9, 1, 1, 5, 2, 9, 1, 2, 1, 8, 1, 1, 1, 1, 1, 1, 8, 1, 1, 1, 1
2, 4, 14, 6, 12, 2, 4, 7, 1, 2, 1, 1, 1, 2, 1, 6, 2, 2, 13, 2, 2, 13, 6, 2, 2, 2
2, 8, 7, 8, 1, 1, 13, 2, 0, 13, 1, 2, 2, 2, 0, 6, 1, 2, 2, 2, 2, 2, 6, 2, 2, 13
2, 1, 12, 4, 9, 9, 8, 0, 4, 2, 2, 0, 2, 9, 1, 2, 1, 2, 1, 6, 2, 2, 9, 2, 13, 6
2, 14, 8, 4, 2, 13, 2, 1, 1, 2, 10, 2, 6, 2, 2, 13, 2, 2, 2, 2, 2, 2, 2, 13, 2, 2
2, 13, 13, 9, 6, 1, 0, 0, 15, 0, 15, 13, 9, 2, 0, 0, 6, 0, 1, 2, 2, 2, 6, 2, 9, 2
2, 12, 10, 4, 13, 1, 1, 0, 6, 2, 0, 6, 2, 2, 7, 2, 0, 2, 9, 6, 2, 6, 9, 9, 2, 2
2, 10, 8, 0, 8, 0, 13, 10, 1, 13, 2, 2, 13, 2, 1, 2, 2, 2, 13, 6, 2, 2, 2, 2, 2, 2
2, 4, 4, 10, 1, 14, 2, 2, 2, 2, 12, 1, 2, 5, 13, 2, 0, 2, 7, 2, 2, 2, 1, 1, 2, 13
2, 12, 12, 9, 7, 1, 1, 4, 2, 1, 2, 2, 9, 6, 2, 13, 2, 2, 2, 13, 1, 7, 2, 2, 6, 2
2, 0, 4, 2, 13, 6, 1, 6, 13, 2, 6, 1, 2, 2, 1, 9, 2, 2, 2, 6, 2, 2, 13, 2, 2, 2
2, 12, 12, 3, 8, 0, 1, 0, 13, 13, 0, 2, 2, 7, 0, 2, 2, 2, 0, 1, 1, 2, 13, 2, 2, 2
2, 0, 6, 0, 4, 6, 2, 13, 1, 2, 2, 2, 2, 13, 2, 2, 2, 9, 2, 2, 6, 1, 2, 2, 0, 2
2, 2, 4, 0, 0, 0, 1, 8, 0, 2, 2, 6, 1, 6, 2, 1, 2, 9, 13, 0, 9, 1, 2, 13, 2, 2
2, 13, 1, 2, 0, 13, 4, 2, 13, 9, 6, 6, 0, 2, 2, 2, 2, 0, 2, 1, 2, 2, 2, 2, 2, 2
2, 1, 12, 2, 6, 1, 13, 1, 1, 7, 2, 9, 6, 2, 2, 2, 2, 1, 0, 2, 13, 2, 0, 2, 2, 0
3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
3, 8, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
3, 5, 5, 14, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
