ground_truth, iters1, iters2, iters3, iters4, iters5, iters6, iters7, iters8, iters9, iters10, iters11, iters12, iters13, iters14, iters15, iters16, iters17, iters18, iters19, iters20, iters21, iters22, iters23, iters24, iters25
0, 3, 10, 28, 0, 3, 14, 10, 19, 10, 0, 27, 19, 16, 19, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0
0, 13, 13, 31, 19, 19, 19, 22, 4, 14, 0, 10, 0, 20, 0, 27, 8, 0, 0, 0, 19, 19, 0, 31, 12, 27
0, 10, 18, 7, 22, 18, 0, 20, 27, 10, 0, 27, 27, 10, 27, 27, 0, 0, 27, 0, 0, 20, 0, 0, 0, 14
0, 29, 19, 16, 25, 0, 24, 0, 12, 0, 2, 0, 0, 10, 0, 3, 0, 0, 0, 19, 16, 19, 20, 0, 20, 0
0, 19, 3, 16, 12, 10, 7, 14, 16, 16, 0, 0, 27, 30, 14, 19, 14, 19, 27, 0, 0, 12, 0, 0, 16, 20
0, 5, 26, 13, 3, 19, 0, 0, 12, 27, 3, 16, 19, 19, 19, 0, 16, 18, 0, 19, 0, 0, 0, 8, 0, 0
0, 29, 0, 19, 11, 19, 16, 19, 19, 10, 8, 14, 16, 19, 0, 0, 0, 0, 27, 0, 0, 31, 0, 0, 0, 16
0, 31, 3, 0, 26, 18, 18, 7, 12, 14, 8, 19, 14, 0, 0, 0, 10, 0, 19, 19, 0, 19, 0, 0, 0, 31
0, 13, 0, 28, 28, 18, 27, 28, 0, 8, 0, 27, 16, 0, 16, 28, 0, 10, 16, 0, 0, 10, 19, 16, 0, 0
0, 19, 29, 8, 0, 0, 14, 0, 19, 0, 18, 12, 16, 0, 11, 0, 0, 0, 20, 31, 19, 0, 0, 0, 27, 20
0, 3, 22, 10, 17, 19, 10, 8, 8, 1, 12, 8, 14, 0, 16, 0, 0, 0, 18, 0, 0, 31, 0, 10, 0, 0
0, 19, 26, 19, 19, 27, 19, 0, 22, 0, 12, 0, 0, 0, 14, 17, 10, 12, 0, 0, 0, 0, 0, 0, 19, 0
0, 19, 19, 0, 0, 18, 0, 11, 27, 16, 20, 0, 19, 12, 0, 27, 16, 0, 0, 0, 16, 20, 27, 10, 0, 0
