ground_truth, iters1, iters2, iters3, iters4, iters5, iters6, iters7, iters8, iters9, iters10, iters11, iters12, iters13, iters14, iters15, iters16, iters17, iters18, iters19, iters20, iters21, iters22, iters23, iters24, iters25
0, 3, 1, 21, 21, 18, 4, 16, 21, 4, 16, 7, 13, 20, 0, 0, 21, 0, 4, 2, 0, 0, 0, 0, 0, 2
0, 5, 4, 4, 21, 18, 0, 16, 10, 15, 21, 4, 0, 15, 0, 4, 4, 21, 0, 0, 0, 4, 0, 0, 4, 15
0, 4, 4, 4, 18, 20, 18, 18, 4, 18, 0, 0, 18, 2, 0, 0, 15, 0, 0, 12, 0, 0, 0, 0, 0, 0
0, 21, 16, 2, 16, 5, 4, 0, 21, 0, 7, 0, 0, 4, 7, 15, 4, 0, 4, 0, 13, 0, 0, 18, 0, 4
0, 21, 4, 8, 7, 4, 15, 21, 4, 4, 0, 0, 0, 4, 13, 21, 7, 7, 20, 18, 12, 0, 0, 0, 0, 0
0, 4, 0, 13, 18, 4, 0, 21, 4, 12, 10, 2, 0, 4, 18, 0, 0, 4, 22, 4, 0, 18, 0, 0, 22, 4
0, 16, 4, 22, 15, 10, 7, 4, 7, 15, 5, 0, 15, 21, 18, 0, 0, 7, 18, 0, 0, 4, 15, 2, 4, 10
0, 16, 15, 13, 0, 21, 4, 7, 0, 16, 5, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 10, 12, 18, 0
0, 4, 16, 10, 10, 18, 18, 2, 10, 6, 9, 18, 4, 16, 20, 0, 0, 0, 21, 2, 18, 20, 4, 2, 0, 0
0, 4, 4, 8, 0, 22, 6, 4, 18, 22, 13, 0, 15, 7, 0, 18, 4, 18, 4, 20, 15, 0, 0, 0, 0, 12
0, 16, 5, 8, 21, 10, 21, 16, 4, 21, 0, 2, 4, 4, 4, 4, 4, 15, 0, 0, 7, 0, 0, 7, 0, 0
0, 16, 4, 10, 4, 0, 18, 18, 9, 21, 7, 15, 4, 16, 4, 4, 0, 0, 18, 0, 2, 0, 0, 18, 7, 4
0, 6, 17, 4, 4, 0, 16, 2, 4, 5, 7, 19, 7, 18, 4, 20, 16, 10, 2, 4, 4, 0, 0, 7, 13, 7
0, 8, 8, 4, 18, 13, 16, 13, 9, 18, 18, 18, 7, 10, 7, 0, 12, 0, 18, 7, 15, 0, 0, 0, 15, 0
0, 18, 4, 7, 16, 21, 12, 13, 18, 4, 18, 0, 0, 0, 4, 4, 7, 0, 13, 21, 0, 0, 0, 13, 16, 0
1, 14, 11, 5, 8, 12, 9, 6, 8, 11, 1, 1, 19, 5, 14, 6, 1, 14, 1, 1, 1, 1, 1, 1, 1, 1
1, 23, 8, 2, 8, 5, 1, 6, 1, 1, 1, 22, 1, 1, 9, 19, 1, 17, 1, 1, 5, 1, 1, 1, 1, 9
